Food	Which nut is used to make dynamite?	Peanuts	Walnuts	Pine nuts	Almonds	Peanuts	NoImage
Food	What was the first cold breakfast cereal invented in 1863?	Granola	Corn flakes	Bran flakes	Cheerios	Granola	NoImage
Food	Who invented Coca-Cola?	John Pemberton	Asa Griggs Candler	Charles Elmer Hires	John Matthews	John Pemberton	NoImage
Food	How many calories per gram are stored in protein?	4	3	2	5	4	NoImage
Food	What is the only U.S. state to grow coffee beans?	Hawaii	California	Louisiana	Florida	Hawaii	NoImage
Food	What does the word “onion” mean in Latin?	Large pearl	Small oyster	White sphere	White oyster	Large pearl	NoImage
Food	What is the only edible food that never expires?	Honey	Rye	Barley	White rice	Honey	NoImage
Food	What condiment was sold in the 1830’s as medicine?	Ketchup	Maple syrup	Ranch dressing	Soy sauce	Ketchup	NoImage
Food	What is a tall chef’s hat called?	Toque	Skull cap	Bucket hat	Trilby	Toque	NoImage
Food	How many flowers do honeybees need to visit in order to make one pound of honey?	2 million	1 million	1.5 million	900,000	2 million	NoImage
Food	Toblerone is a chocolate brand from which country?	UK	Belgium	Switzerland	Sweeden	Switzerland	NoImage
Food	Which monk invented champagne?	Father Brown	Friar Tuck	Abbot Prosecco	Dom Perignon	Dom Perignon	NoImage
Technology	The famous computer Deep Blue was created by which company?	IBM	Amazon	Gateway	Oracle	IBM	NoImage
Technology	The computer Deep Blue is known for beating a grandmaster in which game?	Checkers	Chess	Monopoly	Snakes and Ladders	Chess	NoImage
Technology	Released in 1900, the Brownie was a famous early camera from what company?	Kodak	Polaroid	Canon	Fuji	Kodak	NoImage
Technology	In which country did the brand LG originate?	USA	China	Germany	South Korea	South Korea	NoImage
Technology	What website was originally known as "Gadabra"?	Google	Facebook	Amazon	Instagram	Amazon	NoImage
Technology	What company specializes in GPS technology?	Bose	Garmin	Nintendo	Mozilla	Garmin	NoImage
Technology	What video-on-demand service was originally called "Watch Now"?	Hulu	Prime Video	Vudu	Netflix	Netflix	NoImage
Technology	In which year did Tim Berners-Lee invent the World Wide Web?	1960	1985	1993	1989	1989	NoImage
Technology	On an email, what does "CC" stand for?	Carbon Copy	Course Corrected	Check Core	Can't Complete	Carbon Copy	NoImage
Technology	What is the name of the blue bird that is in Twitter's logo?	Freddy	Larry	Manny	Tony	Larry	NoImage
Technology	Paypal was spun off from which major company in 2015?	eBay	Microsoft	Amazon	Yahoo!	eBay	NoImage
Technology	Tech giant Foxconn is headquartered in which of these countries?	Mexico	Brazil	Denmark	Taiwan	Taiwan	NoImage
Technology	The compact disc was originally developed by Philips and which company?	Sony	IBM	Apple	Zenith	Sony	NoImage
Technology	What is a type of test to see if a specific network address can be reached?	Trumpet	Dot	Ping	Jam	Ping	NoImage
Technology	Which food is slang for poorly-written computer code? 	Roast Beef	Rye Bread	Spaghetti	Lasagna	Spaghetti	NoImage
Technology	Which of these social media platforms was launched in 2010? 	Twitter	Myspace	Facebook	Instagram	Instagram	NoImage
Technology	What search engine was originally called "Jerry and David's Guide to the World Wide Web"?	Amazon	AOL	Google	Yahoo!	Yahoo!	NoImage
Films	What year was the first Toy Story film released in cinemas?	1995	1999	2001	1992	1995	NoImage
Films	Who directed Titanic, Avatar and The Terminator?	Quentin Tarantino	James Cameron	Joss Whedon	Edgar Wright	James Cameron	NoImage
Films	Which Oscar-winning actress is the voice of Helen Parr (Elastigirl) in The Incredibles?	Emma Stone	Kate Winslet	Holly Hunter	Julianne Moore	Holly Hunter	NoImage
Technology	Linux is a...	Simple Kernel	Microkernel	Hybrid Kernel	Monolithic Kernel	Monolithic Kernel	NoImage
Films	Who played Freddy Krueger in the first eight "Night on Elm Street" movies?	Kane Hodder	Robert Englund	Jackie Earle Haley	Johnny Depp	Robert Englund	NoImage
Technology	Johannes Gutenberg is known for which invention?	Cotton Gin	Sewing Machine	Revolver	Printing Press	Printing Press	NoImage
Technology	What does "GPS" stand for?	Global Positioning System	Graphic Planetary Schematic	Ground Plan Scenario	General Polar Size	Global Positioning System	NoImage
Technology	Which computer programming language was known for its "turtle graphics"?	Logo	Python	COBOL	C++	Logo	NoImage
Technology	What company produced the Walkman?	Sony	JVC	Philips	Panasonic	Sony	NoImage
Science	The Manhattan Project resulted in the invention of the first?	Liquid Rocket Fuel	Television	Artificial Heart	Atom Bomb	Atom Bomb	NoImage
Films	Which actor broke two toes whilst filming The Lord of the Rings: The Two Towers?	Viggo Mortensen	Elijah Wood	Ian McKellen	Orlando Bloom	Viggo Mortensen	NoImage
